-26171491190.030579 	144755712959.201110 	6580543.841104 
-28653164208.062370 	143511048907.492400 	111570532.135404 
-31125778102.886696 	142221022896.338840 	216525167.748252 
-33588397170.875435 	140885338638.452480 	321410201.744841 
-36040061695.846039 	139503715806.911770 	426190342.005271 
-38479787826.394470 	138075891234.880250 	530829240.100334 
-40906567499.885605 	136601620162.166950 	635289479.651512 
-43319368417.492249 	135080677528.206760 	739532566.348555 
-45717134074.862068 	133512859310.744050 	843518919.807353 
-48098783853.170120 	131897983909.182140 	947207867.459986 
-50463213175.478867 	130235893571.206310 	1050557640.677672 
-52809293733.473785 	128526455860.902470 	1153525373.335688 
-55135873789.767944 	126769565166.174590 	1256067103.037154 
-57441778561.068573 	124965144242.811400 	1358137775.219554 
-59725810687.567535 	123113145792.070010 	1459691250.373929 
-61986750793.952499 	121213554068.125050 	1560680314.611653 
-64223358147.429199 	119266386511.186510 	1661056693.817238 
-66434371418.094704 	117271695401.511380 	1760771071.627698 
-68618509546.899185 	115229569528.931590 	1859773111.479235 
-70774472726.275635 	113140135871.893770 	1958011482.960229 
-72900943498.296494 	111003561279.360500 	2055433892.705466 
-74996587974.928604 	108820054148.262890 	2151987120.059988 
-77060057184.597275 	106589866088.524000 	2247617057.731621 
-79089988548.832443 	104313293567.003910 	2342268757.638886 
-81085007492.248947 	101990679521.050310 	2435886482.145477 
-83043729188.507355 	99622414931.691025 	2528413760.853447 
-84964760444.205673 	97208940345.877121 	2619793453.104643 
-86846701721.866241 	94750747336.597717 	2709967816.313501 
-88688149302.302582 	92248379889.142334 	2798878580.223992 
-90487697585.681839 	89702435701.304535 	2886467027.149238 
-92243941529.537048 	87113567384.907806 	2972674078.214033 
-93955479220.839233 	84482483555.709808 	3057440385.578333 
-95620914578.011734 	81809949798.513397 	3140706430.573736 
-97238860177.471878 	79096789494.201263 	3222412627.635402 
-98807940197.922821 	76343884495.422791 	3302499433.858915 
-100326793474.206910 	73552175637.815262 	3380907463.955731 
-101794076651.083080 	70722663073.945312 	3457577610.322515 
-103208467425.823030 	67856406417.622543 	3532451167.879457 
-104568667867.051120 	64954524686.872543 	3605469963.271179 
-105873407795.803150 	62018196034.671272 	3676576487.961926 
-107121448213.370940 	59048657257.536224 	3745714034.695096 
-108311584759.157440 	56047203073.247475 	3812826836.726944 
-109442651180.514980 	53015185160.330330 	3877860209.186163 
-110513522795.402790 	49954010953.461006 	3940760691.856300 
-111523119927.706280 	46865142190.658966 	4001476192.627550 
-112470411294.231350 	43750093209.976608 	4059956130.819369 
-113354417321.749150 	40610428995.385742 	4116151579.536800 
-114174213372.040850 	37447762973.659340 	4170015406.192151 
-114928932852.697620 	34263754566.238770 	4221502410.300938 
-115617770191.484270 	31060106502.328156 	4270569457.647301 
-116239983652.389680 	27838561901.741959 	4317175609.910439 
-116794897972.070100 	24600901138.312561 	4361282248.850304 
-117281906796.247880 	21348938496.908058 	4402853194.168411 
-117700474896.752910 	18084518639.281013 	4441854814.188130 
-118050140151.288440 	14809512896.029404 	4478256128.538596 
-118330515269.641370 	11525815403.865105 	4512028902.076572 
-118541289251.936580 	8235339109.120049 	4543147729.341519 
-118682228566.621230 	4940011659.945427 	4571590108.909386 
-118753178038.135930 	1641771210.941437 	4597336507.089899 
-118754061436.652080 	-1657437835.023544 	4620370410.498981 
-118684881764.793910 	-4955669122.309593 	4640678367.131340 
-118545721238.878710 	-8250978649.383728 	4658250015.656762 
-118336740964.865010 	-11541429061.014259 	4673078102.765699 
-118058180311.847720 	-14825093899.890968 	4685158488.493887 
-117710355988.547160 	-18100061792.263535 	4694490139.560254 
-117293660830.762910 	-21364440542.967590 	4701075110.855764 
-116808562310.162930 	-24616361116.266930 	4704918515.321343 
-116255600777.026790 	-27853981480.259731 	4706028482.549503 
-115635387451.615200 	-31075490294.151501 	4704416106.534789 
-114948602180.684540 	-34279110419.458435 	4700095383.082151 
-114195990977.267030 	-37463102238.142685 	4693083137.457975 
-113378363363.191700 	-40625766762.756050 	4683398942.935559 
-112496589534.907150 	-43765448525.850494 	4671065030.944215 
-111551597373.980610 	-46880538238.163361 	4656106193.578341 
-110544369324.194700 	-49969475207.366516 	4638549679.260022 
-109475939157.433690 	-53030749511.446472 	4618425082.375059 
-108347388650.571440 	-56062903923.027786 	4595764227.718741 
-107159844195.342680 	-59064535583.127480 	4570601050.593951 
-105914473362.722720 	-62034297424.911018 	4542971473.400942 
-104612481442.670550 	-64970899349.989845 	4512913279.545888 
-103255107979.244140 	-67873109161.623001 	4480465985.475139 
-101843623320.074110 	-70739753260.864044 	4445670711.614161 
-100379325198.035220 	-73569717113.196869 	4408570052.956074 
-98863535361.685745 	-76361945494.537628 	4369207950.004779 
-97297596269.696716 	-79115442526.628723 	4327629560.733305 
-95682867863.078125 	-81829271512.818420 	4283881134.169878 
-94020724427.557465 	-84502554586.008484 	4238009886.173357 
-92312551556.998550 	-87134472181.162827 	4190063877.906986 
-90559743227.284225 	-89724262345.211212 	4140091897.465668 
-88763698988.645737 	-92271219897.466843 	4088143345.058013 
-86925821283.016663 	-94774695453.808136 	4034268122.090825 
-85047512891.641434 	-97234094327.869568 	3978516524.451345 
-83130174516.879868 	-99648875322.360535 	3920939140.231648 
-81175202500.936172 	-102018549423.388180 	3861586752.090884 
-79183986683.112274 	-104342678410.325200 	3800510244.404825 
-77157908396.135468 	-106620873393.342190 	3737760515.308616 
-75098338601.158981 	-108852793290.232300 	3673388393.698157 
-73006636160.165405 	-111038143253.609390 	3607444561.218111 
