-26171491190.030579 	144755712959.201110 	6580543.841104 
-28651539130.060970 	143461201334.637330 	124990168.786755 
-31122519161.633179 	142121297722.945010 	243360141.807603 
-33583485026.129662 	140735675529.233550 	361651721.840578 
-36033464449.915176 	139304023896.609410 	479824908.798884 
-38471458944.576561 	137826049005.151730 	597838424.660495 
-40896443656.578461 	136301475426.738530 	715649696.275433 
-43307367271.487579 	134730047535.580980 	833214840.117806 
-45703151978.173355 	133111530973.992220 	950488649.222412 
-48082693498.637741 	131445714172.540710 	1067424582.559293 
-50444861189.358078 	129732409923.326630 	1183974757.112971 
-52788498220.238510 	127971457004.660810 	1300089942.945941 
-55112421837.454361 	126162721854.927980 	1415719561.538121 
-57415423716.632690 	124306100292.870700 	1530811687.705197 
-59696270412.936310 	122401519280.942180 	1645313055.408812 
-61953703914.700912 	120448938727.744190 	1759169067.780111 
-64186442307.308952 	118448353324.890810 	1872323811.684952 
-66393180553.961906 	116399794412.921400 	1984720077.163713 
-68572591399.928116 	114303331870.132680 	2096299382.080919 
-70723326406.687073 	112159076017.409670 	2207002002.319229 
-72844017122.157043 	109967179531.316680 	2316767007.848572 
-74933276392.871735 	107727839356.867020 	2425532304.993787 
-76989699823.556473 	105441298610.532530 	2533234685.212746 
-79011867389.038559 	103107848463.187930 	2639809880.681207 
-80998345202.801666 	100727829991.823380 	2745192626.960131 
-82947687445.756653 	98301635988.011429 	2849316732.995667 
-84858438457.943985 	95829712710.294800 	2952115158.671011 
-86729134994.905640 	93312561566.886215 	3053520100.092774 
-88558308649.361359 	90750740714.352127 	3153463082.751999 
-90344488437.599274 	88144866557.311356 	3251875062.651511 
-92086203548.643890 	85495615133.630554 	3348686535.436834 
-93781986252.801880 	82803723369.162476 	3443827653.507434 
-95430374964.614044 	80069990185.769272 	3537228351.018868 
-97029917453.572052 	77295277446.219131 	3628818476.614704 
-98579174194.204559 	74480510719.561996 	3718527933.650399 
-100076721845.314910 	71626679850.793259 	3806286827.590158 
-101521156846.283780 	68734839319.023804 	3892025620.173044 
-102911099116.456680 	65806108369.001556 	3975675289.857023 
-104245195841.746800 	62841670901.687126 	4057167497.960416 
-105522125330.723510 	59842775110.684090 	4136434759.830454 
-106740600920.665680 	56810732852.665237 	4213410620.279888 
-107899374912.358350 	53746918741.521767 	4288029832.445979 
-108997242510.851940 	50652768957.789337 	4360228539.143750 
-110033045748.004270 	47529779766.961411 	4429944455.708214 
-111005677361.437230 	44379505742.572983 	4497117053.250561 
-111914084603.585750 	41203557692.404915 	4561687741.192333 
-112757272953.834920 	38003600288.794395 	4623600047.891075 
-113534309706.358440 	34781349406.809372 	4682799798.132637 
-114244327406.213180 	31538569176.913315 	4739235286.240086 
-114886527106.529950 	28277068761.676147 	4792857443.538817 
-115460181420.284610 	24998698869.025047 	4843619998.922370 
-115964637341.142670 	21705348017.431412 	4891479631.284831 
-116399318809.242070 	18398938571.245430 	4936396112.623406 
-116763728999.508850 	15081422567.065292 	4978332440.669335 
-117057452312.172240 	11754777354.520592 	5017254959.976138 
-117280156047.527130 	8421001077.097923 	5053133470.480518 
-117431591749.668870 	5082108020.612824 	5085941322.652596 
-117511596206.838360 	1740123858.582497 	5115655498.466336 
-117520092099.138350 	-1602919174.948532 	5142256677.547161 
-117457088287.652280 	-4944987153.659927 	5165729287.989308 
-117322679742.367940 	-8284049336.300003 	5186061541.478597 
-117117047109.721660 	-11618083021.032990 	5203245452.504390 
-116840455923.976580 	-14945078345.006531 	5217276841.595335 
-116493255469.974430 	-18263042998.075035 	5228155322.664209 
-116075877308.000840 	-21570006820.716583 	5235884274.695591 
-115588833474.524490 	-24864026257.659149 	5240470798.153467 
-115032714375.366610 	-28143188640.541515 	5241925656.622201 
-114408186390.385500 	-31405616275.046410 	5240263204.321123 
-113715989210.988310 	-34649470310.314087 	5235501300.248941 
-112956932933.680970 	-37872954371.022751 	5227661209.817170 
-112131894934.414220 	-41074317935.270233 	5216767494.920953 
-111241816549.675350 	-44251859444.239777 	5202847893.469956 
-110287699591.097440 	-47403929132.555992 	5185933189.460877 
-109270602720.821810 	-50528931571.158661 	5166057074.716255 
-108191637714.962550 	-53625327917.420746 	5143256003.441977 
-107051965642.301940 	-56691637870.046906 	5117569040.768295 
-105852792984.813510 	-59726441328.990067 	5089037706.437154 
-104595367725.795840 	-62728379763.164665 	5057705814.783061 
-103280975430.330860 	-65696157291.101913 	5023619312.126574 
-101910935341.493160 	-68628541481.848595 	4986826112.660294 
-100486596514.263600 	-71524363885.349350 	4947375933.858081 
-99009334007.476562 	-74382520303.252716 	4905320132.380706 
-97480545152.395905 	-77201970812.541534 	4860711541.386885 
-95901645914.693314 	-79981739555.606415 	4813604310.088743 
-94274067364.744049 	-82720914311.354126 	4764053746.317205 
-92599252269.266739 	-85418645862.690002 	4712116162.786274 
-90878651815.470612 	-88074147176.226715 	4657848727.667868 
-89113722477.031616 	-90686692410.387848 	4601309320.010939 
-87305923029.447464 	-93255615768.181808 	4542556390.462141 
-85456711720.613800 	-95780310210.863892 	4481648827.670287 
-83567543600.857162 	-98260226048.477661 	4418645830.684978 
-81639868015.149292 	-100694869422.907500 	4353606787.590950 
-79675126258.831253 	-103083800698.585780 	4286591160.554973 
-77674749396.897263 	-105426632775.414930 	4217658377.401689 
-75640156245.729614 	-107723029337.791210 	4146867729.779004 
-73572751515.143372 	-109972703052.880340 	4074278277.922704 
-71473924107.683044 	-112175413730.506650 	3999948761.983834 
-69345045571.322632 	-114330966456.194180 	3923937519.841391 
